"Add Variable","Variable hinzufügen"
"Cache","Cache"
"Custom Variables List","eigene Variablen"
"Existing","Vorhanden"
"Force Global Variables","Erzwinge globale Variablen"
"Force Rebuild","Erzwinge Neugenerierung"
"General","General"
"Global Variables","globale Variablen"
"If you choose ""<strong>Yes</strong>"", the errors occuring during the CSS files generation by LessPHP will be appended as comments in the corresponding files","Wenn du ""<strong>Ja</strong>"" auswählst, werden auftretende Fehler als Kommentar an das Ende CSS-Datei angehängt"
"Less File","Less Datei"
"Less Files","Less Dateien"
"Manage Less Files","Less Datei Verwaltung"
"None","Keine"
"Path","Pfad"
"Please select one or more Less files","Bitte wähle eine oder mehr Less Dateien aus"
"Reset Cache","Cache leeren"
"Show Less Errors in CSS Files","Zeige Less Fehler in CSS Datei an"
"The cache of %d Less file(s) have been resetted.","Der Cache von %d Less Datei(en) wurde geleert"
"The cache of the Less file has been successfully resetted.","Der Cache wurde erfolgreich geleert"
"The Less file has been successfully deleted.","Less Datei wurde erfolgreich gelöscht"
"The Less file has been successfully saved.","Less Datei wurde erfolgreich gespeichert"
"This Less file no longer exists.","Diese Less Datei existiert nicht mehr"
"Total of %d Less file(s) have been deleted.","%d Less Dateien wurden gelöscht"
"Use Global Variables","Benutze globale Variablen"
"With","mit"
"Without","ohne"